,index,score_df1,claim_name,ncbi_gene_id_df1,ncbi_gene_id_df2,score_df2,score_ratio
2986,4745,0.0001675743611227,SRGN,5552,5552,0.0001658657994093,1.0103008680480527
2710,3814,0.0001675743611227,PIGF,5281,5281,0.0001658661233907,1.0102988946572062
2549,3876,0.0001675743611227,DOCK10,55619,55619,0.0001658672001217,1.0102923362771388
2308,3960,0.0001675743611227,SLAMF6,114836,114836,0.0001658672001217,1.0102923362771388
3000,4648,0.0001675743611227,ARHGAP28,79822,79822,0.0001658676237326,1.0102897560819433
2919,4516,0.0001675743611227,MYBBP1A,10514,10514,0.0001658699516062,1.0102755773423417
4337,3162,0.0001675743611227,ASNS,440,440,0.0001658699516062,1.0102755773423417
2523,4083,0.0001675743611227,AXIN1,8312,8312,0.0001658723302811,1.0102610895905038
2987,4746,0.0001675743611227,SLC34A2,10568,10568,0.0001658746986111,1.010246665258967
2946,4706,0.0001675743611227,IL10RA,3587,3587,0.0001658753096001,1.0102429440927414
4106,3048,0.0001675743611227,GSTO1,9446,9446,0.0001658757926202,1.0102400023274591
4274,3244,0.0001675743611227,UOX,391051,391051,0.0001658767147124,1.010234386503515
3364,2681,0.0001675743611227,DPH2,1802,1802,0.0001658772751145,1.0102309735135722
2328,4019,0.0001675743611227,MXI1,4601,4601,0.0001658796405462,1.0102165676928145
2613,3698,0.0001675743611227,CFI,3426,3426,0.0001658796405462,1.0102165676928145
2769,3726,0.0001675743611227,IHH,3549,3549,0.0001658796405462,1.0102165676928145
2517,4059,0.0001675743611227,SAMD3,154075,154075,0.0001658796405462,1.0102165676928145
2782,3760,0.0001675743611227,HYOU1,10525,10525,0.0001658796888093,1.0102162737678404
3960,3423,0.0001675743611227,RAD51,5888,5888,0.0001658814013103,1.0102058446518252
3091,4288,0.0001675743611227,GATA6,2627,2627,0.0001658827826042,1.0101974327410226
4076,3472,0.0001675743611227,CD244,51744,51744,0.0001658836426734,1.0101921950956234
4052,3483,0.0001675743611227,TNFAIP1,7126,7126,0.0001658836426734,1.0101921950956234
2807,3771,0.0001675743611227,VIPR1,7433,7433,0.0001658836426734,1.0101921950956234
1007,2140,0.0001675743611227,PNMT,5409,5409,0.0001658845136302,1.0101868912023164
936,2080,0.0001675743611227,CD82,3732,3732,0.0001658845136302,1.0101868912023164
3208,4450,0.0001675743611227,LAMP1,3916,3916,0.0001658845489292,1.0101866762420484
4237,3203,0.0001675743611227,SLC44A4,80736,80736,0.0001658856569667,1.0101799286742372
3682,2392,0.0001675743611227,CHRNA10,57053,57053,0.0001658866608521,1.0101738154347726
3748,2655,0.0001675743611227,CHRNA9,55584,55584,0.0001658866608521,1.0101738154347726
4229,3229,0.0001675743611227,GOLGA3,2802,2802,0.0001658869714392,1.0101719241050733
3859,3363,0.0001675743611227,TICAM1,148022,148022,0.0001658894885725,1.010156596205694
3463,2812,0.0001675743611227,SPTA1,6708,6708,0.0001658908458656,1.010148331261533
1951,1267,0.0001675743611227,PRCP,5547,5547,0.0001658908458656,1.010148331261533
2985,4751,0.0001675743611227,EMSY,56946,56946,0.0001658913126162,1.010145489115478
2436,4101,0.0001675743611227,ATG5,9474,9474,0.0001658913126162,1.010145489115478
2991,4750,0.0001675743611227,CCNY,219771,219771,0.0001658913126162,1.010145489115478
2689,3821,0.0001675743611227,TANK,10010,10010,0.0001658913126162,1.010145489115478
2932,4734,0.0001675743611227,ATG16L1,55054,55054,0.0001658913126162,1.010145489115478
667,1352,0.0001675743611227,CLDN18,51208,51208,0.0001658913393494,1.0101453263316853
2849,4614,0.0001675743611227,STRAP,11171,11171,0.0001658938641252,1.0101299527041683
2988,4747,0.0001675743611227,STK32B,55351,55351,0.0001658952822246,1.0101213179518074
2464,4167,0.0001675743611227,MROH2A,339766,339766,0.0001658958708465,1.0101177338991945
2958,4711,0.0001675743611227,TNK1,8711,8711,0.0001658997290374,1.0100942424379877
1179,1878,0.0001675743611227,MYLK,4638,4638,0.0001658997290374,1.0100942424379877
1376,411,0.0001675743611227,SCGB1A1,7356,7356,0.0001659007703341,1.0100879024565688
2847,4612,0.0001675743611227,SOCS6,9306,9306,0.0001659044611699,1.0100654312790895
1013,2141,0.0001675743611227,PPP1R1A,5502,5502,0.0001659044611699,1.0100654312790895
1537,123,0.0001675743611227,YWHAE,7531,7531,0.0001659044611699,1.0100654312790895
4035,3443,0.0001675743611227,HTRA1,5654,5654,0.0001659051746031,1.0100610877484275
2304,3957,0.0001675743611227,NCF1,653361,653361,0.0001659051746031,1.0100610877484275
2690,3822,0.0001675743611227,ENPP3,5169,5169,0.0001659058305438,1.0100570942771026
3466,2946,0.0001675743611227,TPK1,27010,27010,0.0001659106914866,1.0100275010681536
2983,4741,0.0001675743611227,TIE1,7075,7075,0.0001659111973281,1.010024421626655
4238,3213,0.0001675743611227,AFF2,2334,2334,0.000165912828599,1.0100144909693258
454,1692,0.0001675743611227,HK1,3098,3098,0.0001659130266986,1.0100132850153956
2297,3956,0.0001675743611227,MSR1,4481,4481,0.0001659132502694,1.0100119240060863
2820,4577,0.0001675743611227,KMT2C,58508,58508,0.0001659136562284,1.0100094526999865
3932,3340,0.0001675743611227,PYY,5697,5697,0.0001659151537348,1.010000336621163
3480,2944,0.0001675743611227,RAB5A,5868,5868,0.0001659159970616,1.009995202936847
3168,4428,0.0001675743611227,RBL1,5933,5933,0.0001659162863997,1.0099934416263732
2380,3890,0.0001675743611227,LST1,7940,7940,0.0001659164737214,1.0099923013315957
2898,4487,0.0001675743611227,NGB,58157,58157,0.000165916897618,1.0099897209295468
3847,3385,0.0001675743611227,PTTG1,9232,9232,0.0001659175181151,1.0099859437775016
3836,3387,0.0001675743611227,CD84,8832,8832,0.0001659175181151,1.0099859437775016
3196,4458,0.0001675743611227,EOMES,8320,8320,0.0001659198263468,1.0099718931265136
3262,4386,0.0001675743611227,CLEC16A,23274,23274,0.0001659198263468,1.0099718931265136
3331,2796,0.0001675743611227,MT1E,4493,4493,0.0001659203457691,1.0099687313568029
3561,2968,0.0001675743611227,CCL25,6370,6370,0.0001659203535375,1.0099686840700117
3699,2597,0.0001675743611227,FLG,2312,2312,0.0001659216689689,1.0099606770114504
2188,1006,0.0001675743611227,ST6GAL1,6480,6480,0.0001659217968524,1.009959898588671
2845,4610,0.0001675743611227,SDC2,6383,6383,0.0001659227579154,1.0099540486672849
3452,2891,0.0001675743611227,BCL2L10,10017,10017,0.0001659233629516,1.0099503658901947
2403,3917,0.0001675743611227,FOXG1,2290,2290,0.0001659261801279,1.0099332184561203
2552,3666,0.0001675743611227,HLA-DPA1,3113,3113,0.0001659295313211,1.0099128213555728
4149,3043,0.0001675743611227,KIR2DS2,100132285,100132285,0.0001659295313211,1.0099128213555728
4044,3436,0.0001675743611227,SERPINB3,6317,6317,0.0001659349660239,1.0098797446860228
3856,3360,0.0001675743611227,RPS6KA2,6196,6196,0.0001659354751452,1.0098766461847049
1522,566,0.0001675743611227,FTH1P4,2499,2499,0.0001659355641293,1.0098761046313316
2992,4699,0.0001675743611227,FTH1P3,2498,2498,0.0001659355641293,1.0098761046313316
2518,4060,0.0001675743611227,SLC1A5,6510,6510,0.0001659377519197,1.0098627900165358
1955,1177,0.0001675743611227,TFF2,7032,7032,0.000165941669326,1.009838950055953
4067,3470,0.0001675743611227,ABCG4,64137,64137,0.000165941669326,1.009838950055953
508,2275,0.0001675743611227,CST1,1469,1469,0.0001659432153811,1.009829541616715
3939,3343,0.0001675743611227,ADAMTS4,9507,9507,0.0001659432358837,1.009829416850369
2874,4492,0.0001675743611227,B3GAT1,27087,27087,0.0001659432358837,1.009829416850369
2665,3641,0.0001675743611227,ITGA11,22801,22801,0.000165946433611,1.0098099578055173
2303,3955,0.0001675743611227,IFIT2,3433,3433,0.000165946433611,1.0098099578055173
2302,3954,0.0001675743611227,ICAM2,3384,3384,0.000165946433611,1.0098099578055173
3870,3412,0.0001675743611227,CEACAM7,1087,1087,0.000165946433611,1.0098099578055173
2410,3926,0.0001675743611227,IRF3,3661,3661,0.000165946433611,1.0098099578055173
2617,3645,0.0001675743611227,NFKBIL1,4795,4795,0.000165946433611,1.0098099578055173
1816,1157,0.0001675743611227,IL11RA,3590,3590,0.0001659476513851,1.0098025475143666
2997,4645,0.0001675743611227,CTSLP8,1518,1518,0.0001659497212806,1.0097899522190394
3245,4327,0.0001675743611227,PAPPA2,60676,60676,0.0001659560862927,1.0097512231467416
3244,4326,0.0001675743611227,COL22A1,169044,169044,0.0001659560862927,1.0097512231467416
2474,4141,0.0001675743611227,CLOCK,9575,9575,0.0001659560862927,1.0097512231467416
3963,3519,0.0001675743611227,IGF2R,3482,3482,0.0001659560862927,1.0097512231467416
3193,4454,0.0001675743611227,SLC24A4,123041,123041,0.0001659560862927,1.0097512231467416
2626,3600,0.0001675743611227,TNFRSF10C,8794,8794,0.0001659563200094,1.0097498011115718
2877,4496,0.0001675743611227,SIGLEC10,89790,89790,0.0001659584834621,1.009736637904196
3135,4227,0.0001675743611227,HSPA1B,3304,3304,0.0001659584834621,1.009736637904196
1863,1022,0.0001675743611227,TNFSF11,8600,8600,0.0001659592100241,1.0097322173223495
522,1633,0.0001675743611227,LY6E,4061,4061,0.000165960071194,1.0097269778030702
2499,4058,0.0001675743611227,CTSD,1509,1509,0.0001659605560169,1.009724028073488
2370,3880,0.0001675743611227,SLC2A5,6518,6518,0.0001659605560169,1.009724028073488
3908,3306,0.0001675743611227,SFTPB,6439,6439,0.0001659605560169,1.009724028073488
2748,3796,0.0001675743611227,SLC16A3,9123,9123,0.0001659605560169,1.009724028073488
4154,2994,0.0001675743611227,PREP,5550,5550,0.0001659605560169,1.009724028073488
2964,4736,0.0001675743611227,TXNIP,10628,10628,0.0001659631982055,1.0097079529354756
2506,4028,0.0001675743611227,FGFR3P1,100462812,100462812,0.0001659651021922,1.0096963693526146
2778,3736,0.0001675743611227,FGFR1OP2,26127,26127,0.0001659651021922,1.0096963693526146
2500,4042,0.0001675743611227,FGFRL1,53834,53834,0.0001659651021922,1.0096963693526146
3011,4643,0.0001675743611227,GJA1P1,2698,2698,0.0001659656592179,1.0096929805381478
3081,4315,0.0001675743611227,GGT7,2686,2686,0.0001659656592179,1.0096929805381478
2538,4069,0.0001675743611227,METTL1,4234,4234,0.0001659660509955,1.0096905970682137
2830,4553,0.0001675743611227,RUNX2,860,860,0.0001659665737513,1.0096874167795333
3174,4403,0.0001675743611227,NR4A3,8013,8013,0.0001659665737513,1.0096874167795333
3129,4230,0.0001675743611227,CCL1,6346,6346,0.0001659665737513,1.0096874167795333
3224,4395,0.0001675743611227,MAT1A,4143,4143,0.0001659665737513,1.0096874167795333
2829,4552,0.0001675743611227,INPPL1,3636,3636,0.0001659665737513,1.0096874167795333
2713,3723,0.0001675743611227,FOSL1,8061,8061,0.0001659668454399,1.009685763915915
2520,4087,0.0001675743611227,IGFBP4,3487,3487,0.0001659672632538,1.0096832220848422
2990,4749,0.0001675743611227,NTF4,4909,4909,0.0001659690598461,1.009672292402503
2954,4714,0.0001675743611227,STAR,6770,6770,0.0001659690598461,1.009672292402503
850,2145,0.0001675743611227,RALA,5898,5898,0.0001659691722592,1.0096716085381996
626,1361,0.0001675743611227,GPLD1,2822,2822,0.0001659701232449,1.009665823260448
3410,2696,0.0001675743611227,GPM6A,2823,2823,0.0001659701232449,1.009665823260448
480,1718,0.0001675743611227,ZMPSTE24,10269,10269,0.0001659701232449,1.009665823260448
2470,4137,0.0001675743611227,CDKN1C,1028,1028,0.0001659721393691,1.0096535584809019
922,2168,0.0001675743611227,DNAJB1,3337,3337,0.0001659726170006,1.0096506529272489
3936,3337,0.0001675743611227,EGFL7,51162,51162,0.000165981165446,1.0095986533919015
377,1611,0.0001675743611227,KCNJ2,3759,3759,0.0001659882350812,1.0095556533914833
3400,2719,0.0001675743611227,PTPRF,5792,5792,0.0001659919839563,1.0095328529046113
3604,2496,0.0001675743611227,TRPM6,140803,140803,0.0001659946964273,1.0095163564222176
