ncbi_gene_id,partition_number,claim_name
144455,4,E2F7
8202,4,NCOA3
27068,4,PPA2
345222,4,MSANTD1
116987,4,AGAP1
64067,4,NPAS3
23671,4,TMEFF2
7082,4,TJP1
2917,4,GRM7
10213,4,PSMD14
23043,1,TNIK
161357,4,MDGA2
8170,4,SLC14A2
320,4,APBA1
816,1,CAMK2B
427,4,ASAH1
7020,4,TFAP2A
23316,4,CUX2
26584,4,DUX1
7975,4,MAFK
1594,4,CYP27B1
84871,4,AGBL4
8438,4,RAD54L
1585,4,CYP11B2
51706,4,CYB5R1
6223,4,RPS19
51167,4,CYB5R4
51700,4,CYB5R2
1329,4,COX5B
200959,4,GABRR3
2557,4,GABRA4
2569,4,GABRR1
55879,4,GABRQ
2570,4,GABRR2
2564,4,GABRE
2565,4,GABRG1
6866,4,TAC3
3988,4,LIPA
3484,4,IGFBP1
51429,4,SNX9
6521,4,SLC4A1
121130,4,OR10P1
131578,4,LRRC15
83447,4,SLC25A31
79698,4,ZMAT4
3765,4,KCNJ9
3763,4,KCNJ6
3762,4,KCNJ5
343,4,AQP8
4025,4,LPO
10728,4,PTGES3
2103,4,ESRRB
2104,4,ESRRG
624,4,BDKRB2
7476,4,WNT7A
6362,4,CCL18
389,4,RHOC
388,4,RHOB
391,4,RHOG
535,4,ATP6V0A1
529,4,ATP6V1E1
390,4,RND3
4133,4,MAP2
4908,4,NTF3
2741,4,GLRA1
6319,4,SCD
259292,4,TAS2R46
6717,4,SRI
113457,4,TUBA3D
10382,4,TUBB4A
7280,4,TUBB2A
112714,4,TUBA3E
7278,4,TUBA3C
7277,4,TUBA4A
7846,4,TUBA1A
84790,4,TUBA1C
10381,4,TUBB3
347733,4,TUBB2B
347688,4,TUBB8
10383,4,TUBB4B
84617,4,TUBB6
10376,4,TUBA1B
55625,4,ZDHHC7
27341,4,RRP7A
94134,4,ARHGAP12
93183,4,PIGM
7693,4,ZNF134
4978,4,OPCML
2110,4,ETFDH
9855,4,FARP2
9513,4,FXR2
100422999,4,MIR4278
10520,4,ZNF211
147929,4,ZNF565
79585,4,CORO7
64072,4,CDH23
26168,4,SENP3
8836,4,GGH
64283,4,ARHGEF28
23587,4,ELP5
84795,4,PYROXD2
5813,4,PURA
152189,4,CMTM8
157310,4,PEBP4
57761,4,TRIB3
64714,4,PDIA2
91612,4,CHURC1
10840,4,ALDH1L1
57488,4,ESYT2
84727,4,SPSB2
55342,4,STRBP
348980,4,HCN1
442247,4,RFPL4B
3382,4,ICA1
6818,4,SULT1A3
266747,4,RGL4
5327,4,PLAT
6288,4,SAA1
5802,4,PTPRS
1277,4,COL1A1
219790,4,RTKN2
9456,4,HOMER1
22874,4,PLEKHA6
4825,4,NKX6-1
11214,4,AKAP13
1861,4,TOR1A
84107,4,ZIC4
440275,1,EIF2AK4
666,4,BOK
9152,4,SLC6A5
255239,4,ANKK1
340273,4,ABCB5
84159,4,ARID5B
818,1,CAMK2G
1804,1,DPP6
9992,4,KCNE2
6713,4,SQLE
6609,4,SMPD1
3122,4,HLA-DRA
26191,4,PTPN22
5145,4,PDE6A
5137,4,PDE1C
5148,4,PDE6G
5146,4,PDE6C
5147,4,PDE6D
5149,4,PDE6H
5151,4,PDE8A
5158,4,PDE6B
5136,4,PDE1A
8660,4,IRS2
5150,4,PDE7A
54084,4,TSPEAR
386672,4,KRTAP10-4
6892,4,TAPBP
339123,4,JMJD8
8704,4,B4GALT2
8622,4,PDE8B
23177,4,CEP68
57834,4,CYP4F11
3116,4,HLA-DPB2
27159,4,CHIA
1892,4,ECHS1
6539,4,SLC6A12
90632,4,LINC00473
161835,4,FSIP1
116988,4,AGAP3
9278,4,ZBTB22
1306,4,COL15A1
1308,4,COL17A1
64168,4,NECAB1
9172,4,MYOM2
7358,4,UGDH
10873,4,ME3
256130,4,TMEM196
686,4,BTD
51304,4,ZDHHC3
10463,4,SLC30A9
5152,4,PDE9A
27115,4,PDE7B
84219,4,WDR24
1591,4,CYP24A1
1013,4,CDH15
7251,4,TSG101
2638,4,GC
7248,4,TSC1
1117,4,CHI3L2
2138,4,EYA1
1307,4,COL16A1
5739,4,PTGIR
10411,4,RAPGEF3
23167,4,EFR3A
3674,4,ITGA2B
3074,4,HEXB
3315,4,HSPB1
5539,4,PPY
60482,4,SLC5A7
375298,1,CERKL
80224,1,NUBPL
386607,1,ZFP91-CNTF
56853,1,CELF4
10718,4,NRG3
130399,4,ACVR1C
23683,1,PRKD3
2660,4,MSTN
5740,4,PTGIS
2357,4,FPR1
667,4,DST
865,4,CBFB
861,4,RUNX1
55117,4,SLC6A15
6361,4,CCL17
2587,4,GALR1
4982,4,TNFRSF11B
8287,4,USP9Y
4880,4,NPPC
1081,4,CGA
445347,4,TARP
3931,4,LCAT
366,4,AQP9
1103,4,CHAT
4650,4,MYO9B
268,4,AMH
55283,4,MCOLN3
6019,4,RLN2
1638,4,DCT
5091,4,PC
9266,4,CYTH2
607,4,BCL9
1072,4,CFL1
79054,4,TRPM8
606,4,NBEAP1
496,4,ATP4B
11069,4,RAPGEF4
2516,4,NR5A1
1759,4,DNM1
7098,4,TLR3
1757,4,SARDH
9607,4,CARTPT
3093,4,UBE2K
364,4,AQP7
6750,4,SST
120,4,ADD3
384,4,ARG2
839,4,CASP6
21,4,ABCA3
20,4,ABCA2
2749,4,GLUD1P3
620,4,BCYRN1P2
8424,4,BBOX1
162466,4,PHOSPHO1
5373,4,PMM2
408,4,ARRB1
239,4,ALOX12
2717,4,GLA
247,4,ALOX15B
4351,4,MPI
2648,4,KAT2A
84152,4,PPP1R1B
708,4,C1QBP
9,4,NAT1
79648,4,MCPH1
652991,4,SKOR2
55534,4,MAML3
1325,4,CORT
2767,4,GNA11
927,4,CD8B2
59285,4,CACNG6
8911,4,CACNA1I
8140,4,SLC7A5
9254,4,CACNA2D2
784,4,CACNB3
59283,4,CACNG8
27092,4,CACNG4
56479,4,KCNQ5
93589,4,CACNA2D4
27091,4,CACNG5
782,4,CACNB1
59284,4,CACNG7
1337,4,COX6A1
2584,4,GALK1
23192,4,ATG4B
4154,4,MBNL1
2078,4,ERG
60489,4,APOBEC3G
4221,4,MEN1
29127,4,RACGAP1
6513,4,SLC2A1
285834,4,HCG22
54093,4,SETD4
8574,4,AKR7A2
51310,4,SLC22A17
2947,4,GSTM3
2939,4,GSTA2
64849,4,SLC13A3
7508,4,XPC
133482,4,SLCO6A1
4522,4,MTHFD1
7532,4,YWHAG
6872,4,TAF1
2637,4,GBX2
6670,4,SP3
54474,4,KRT20
2878,4,GPX3
6390,4,SDHB
2177,4,FANCD2
79623,4,GALNT14
2212,4,FCGR2A
6935,4,ZEB1
2068,4,ERCC2
10057,4,ABCC5
10864,4,SLC22A7
3014,4,H2AX
8493,4,PPM1D
10060,4,ABCC9
89845,4,ABCC10
831,4,CAST
7486,4,WRN
356,4,FASLG
4602,4,MYB
2067,4,ERCC1
1545,4,CYP1B1
53353,4,LRP1B
4297,4,KMT2A
1906,4,EDN1
4088,4,SMAD3
80201,4,HKDC1
5346,4,PLIN1
7334,4,UBE2N
2629,4,GBA1
8321,4,FZD1
7253,4,TSHR
7363,4,UGT2B4
7367,4,UGT2B17
23600,4,AMACR
684,4,BST2
4153,4,MBL2
93659,4,CGB5
1356,4,CP
313,4,AOAH
311,4,ANXA11
312,4,ANXA13
3727,4,JUND
3760,4,KCNJ3
5020,4,OXT
50852,4,TRAT1
23216,4,TBC1D1
3699,4,ITIH3
4835,4,NQO2
28755,4,TRAC
100302251,4,MIR1264
100302144,4,MIR1912
3115,4,HLA-DPB1
2675,4,GFRA2
3127,4,HLA-DRB5
718,4,C3
4781,4,NFIB
23,4,ABCF1
59340,4,HRH4
9135,4,RABEP1
3125,4,HLA-DRB3
11201,4,POLI
2668,4,GDNF
1993,4,ELAVL2
150368,4,PHETA2
659,4,BMPR2
2074,4,ERCC6
55964,4,SEPTIN3
91689,4,SMDT1
6647,4,SOD1
5778,4,PTPN7
3949,4,LDLR
3326,4,HSP90AB1
5631,4,PRPS1
5471,4,PPAT
80339,4,PNPLA3
3177,4,SLC29A2
1549,4,CYP2A7
54805,4,CNNM2
3508,4,IGHMBP2
1374,4,CPT1A
9153,4,SLC28A2
79068,4,FTO
55270,4,NUDT15
27232,4,GNMT
55775,4,TDP1
3251,4,HPRT1
885,4,CCK
7957,4,EPM2A
4922,4,NTS
7200,4,TRH
2150,4,F2RL1
7365,4,UGT2B10
1573,4,CYP2J2
5893,4,RAD52
922,4,CD5L
5376,4,PMP22
9370,4,ADIPOQ
10622,4,POLR3G
54535,4,CCHCR1
10758,4,TRAF3IP2
6941,4,TCF19
10866,4,HCP5
1944,4,EFNA3
1945,4,EFNA4
3024,4,H1-1
7398,4,USP1
11188,4,NISCH
610,4,HCN2
5970,4,RELA
9367,4,RAB9A
5360,4,PLTP
64241,4,ABCG8
22937,4,SCAP
147947,4,ZNF542P
7056,4,THBD
79789,4,CLMN
23463,4,ICMT
3976,4,LIF
639,4,PRDM1
3990,4,LIPC
10002,4,NR2E3
19,4,ABCA1
55662,4,HIF1AN
26013,4,L3MBTL1
5429,4,POLH
2237,4,FEN1
51426,4,POLK
5965,4,RECQL
537,4,ATP6AP1
7494,4,XBP1
545,4,ATR
6295,4,SAG
1213,4,CLTC
339,4,APOBEC1
7054,4,TH
6778,4,STAT6
1376,4,CPT2
2215,4,FCGR3B
2026,4,ENO2
595,4,CCND1
133,4,ADM
547,4,KIF1A
668,4,FOXL2
64326,4,COP1
517,4,ATP5MC2
83608,4,C18orf21
100379661,4,GRIK1-AS2
544,4,ALDH7A1P4
1120,4,CHKB
525,4,ATP6V1B1
387,4,RHOA
57582,4,KCNT1
1551,4,CYP3A7
1326,4,MAP3K8
2548,4,GAA
483,4,ATP1B3
833,4,CARS1
482,4,ATP1B2
477,4,ATP1A2
353189,4,SLCO4C1
1471,4,CST3
478,4,ATP1A3
480,4,ATP1A4
481,4,ATP1B1
7432,4,VIP
7849,4,PAX8
486,4,FXYD2
51053,4,GMNN
6863,4,TAC1
79915,4,ATAD5
360,4,AQP3
89932,4,PAPLN
2731,4,GLDC
55312,4,RFK
84062,4,DTNBP1
653,4,BMP5
6728,4,SRP19
151194,4,METTL21A
10556,4,RPP30
1385,4,CREB1
5054,4,SERPINE1
127254,4,ERICH3
1562,4,CYP2C18
7905,4,REEP5
136227,4,COL26A1
2932,1,GSK3B
1395,4,CRHR2
6262,4,RYR2
30,4,ACAA1
29,4,ABR
3952,4,LEP
29994,4,BAZ2B
263,4,AMD1P2
3274,4,HRH2
22809,4,ATF5
655,4,BMP7
55816,4,DOK5
552859,4,LINC00251
100422959,4,MIR4268
1535,4,CYBA
4689,4,NCF4
4158,4,MC2R
4772,4,NFATC1
100422871,4,MIR3117
494514,4,TYMSOS
301,4,ANXA1
7038,4,TG
2625,4,GATA3
113026,4,PLCD3
786,4,CACNG1
542,4,ALDH7A1P2
781,4,CACNA2D1
2778,4,GNAS
272,4,AMPD3
928,4,CD9
16,4,AARS1
14,4,AAMP
15,4,AANAT
22,4,ABCB7
13,4,AADAC
11,4,NATP
926,4,CD8B
265,4,AMELX
3248,4,HPGD
9099,4,USP2
3,4,A2MP1
661,4,POLR3D
3921,4,RPSA
64979,4,MRPL36
80862,4,POLR1HASP
3305,4,HSPA1L
236,4,AKR1B1P2
4295,4,MLN
7917,4,BAG6
10928,4,RALBP1
100130889,4,PSORS1C3
7916,4,PRRC2A
170679,4,PSORS1C1
7133,4,TNFRSF1B
5460,4,POU5F1
6329,4,SCN4A
6326,4,SCN2A
6323,4,SCN1A
360158,4,CYCSP5
6332,4,SCN7A
6855,4,SYP
5187,4,PER1
5173,4,PDYN
3163,4,HMOX2
421,4,ARVCF
445329,4,SULT1A4
9170,4,LPAR2
54579,4,UGT1A5
1432,4,MAPK14
319,4,APOF
317,4,APAF1
318,4,NUDT2
2048,1,EPHB2
2047,1,EPHB1
2049,1,EPHB3
563,4,AZGP1
801,4,CALM1
3784,4,KCNQ1
93100,14,NAPRT
7352,14,UCP3
6538,14,SLC6A11
10020,14,GNE
54894,14,RNF43
6528,14,SLC5A5
3827,14,KNG1
4521,14,NUDT1
683,14,BST1
2295,14,FOXF2
80271,14,ITPKC
201973,14,PRIMPOL
79934,14,COQ8B
221935,14,SDK1
1473,14,CST5
53942,14,CNTN5
116984,14,ARAP2
245812,14,CNPY4
163351,14,GBP6
79817,14,MOB3B
54620,14,FBXL19
6890,14,TAP1
64754,14,SMYD3
6509,14,SLC1A4
5023,14,P2RX1
6929,14,TCF3
7223,14,TRPC4
3467,14,IFNW1
3336,14,HSPE1
30061,14,SLC40A1
23495,14,TNFRSF13B
84561,14,SLC12A8
9935,14,MAFB
8302,14,KLRC4
57115,14,PGLYRP4
1607,14,DGKB
200205,14,IBA57
5997,14,RGS2
8048,14,CSRP3
1116,14,CHI3L1
7419,14,VDAC3
9378,14,NRXN1
5031,14,P2RY6
1001,14,CDH3
7224,14,TRPC5
820,14,CAMP
51377,14,UCHL5
9097,14,USP14
54795,14,TRPM4
26291,14,FGF21
2165,14,F13B
5016,14,OVGP1
7454,14,WAS
4159,14,MC3R
57379,14,AICDA
115560,14,ZNF501
85397,14,RGS8
3611,14,ILK
79581,14,SLC52A2
55515,14,ASIC4
9311,14,ASIC3
4240,14,MFGE8
149111,14,CNIH3
374900,14,ZNF568
85461,14,TANC1
11197,14,WIF1
8840,14,CCN4
7507,14,XPA
10848,14,PPP1R13L
3603,14,IL16
51214,14,IGF2-AS
147495,14,APCDD1
55057,14,CRYBG2
8313,14,AXIN2
54625,14,PARP14
57122,14,NUP107
10287,14,RGS19
56884,14,FSTL5
91752,14,ZNF804A
10327,14,AKR1A1
924,14,CD7
25800,14,SLC39A6
4683,14,NBN
2572,14,GAD2
1769,14,DNAH8
4281,14,MID1
210,14,ALAD
9622,14,KLK4
4103,14,MAGEA4
4123,14,MAN2C1
181,14,AGRP
3423,14,IDS
27122,14,DKK3
3728,14,JUP
10333,14,TLR6
23049,14,SMG1
11010,14,GLIPR1
3853,14,KRT6A
84876,14,ORAI1
84059,14,ADGRV1
56852,14,RAD18
7718,14,ZNF165
94026,14,POM121L2
57192,14,MCOLN1
198437,14,LKAAEAR1
23155,14,CLCC1
9180,14,OSMR
200558,14,APLF
10849,14,POLR1G
80319,14,CXXC4
23332,14,CLASP1
7512,14,XPNPEP2
146713,14,RBFOX3
154141,14,MBOAT1
723961,14,INS-IGF2
60412,14,EXOC4
847,14,CAT
6352,14,CCL5
5645,14,PRSS2
1509,14,CTSD
2071,14,ERCC3
435,14,ASL
7128,14,TNFAIP3
3678,14,ITGA5
1830,14,DSG3
4926,14,NUMA1
30009,14,TBX21
11011,14,TLK2
4691,14,NCL
3557,14,IL1RN
10769,14,PLK2
10457,14,GPNMB
