multiplex	node	score
1	54576	2.625444841894755e-05
1	4524	2.6224652878362516e-05
1	335	2.6218915008552087e-05
1	57521	2.621462085938628e-05
1	2260	2.6167201131745098e-05
1	7099	2.6152836853212808e-05
1	54659	2.6147279247175116e-05
1	958	2.613976730926922e-05
1	834	2.6124220947247717e-05
1	5604	2.6116354995771083e-05
1	3172	2.610028562586771e-05
1	5663	2.60974930878531e-05
1	2030	2.6054128864725817e-05
1	3762	2.6024037204521456e-05
1	5914	2.593569758311728e-05
1	4170	2.585389756540822e-05
1	10257	2.57645567609555e-05
1	9212	2.5733195209151794e-05
1	51548	2.5719296696157042e-05
1	6347	2.5620518581366527e-05
1	8647	2.5582322662881592e-05
1	3105	2.5568596529300057e-05
1	857	2.552177168693558e-05
1	3845	2.549281015988817e-05
1	3752	2.5391647568278898e-05
1	3480	2.5295075078457043e-05
1	7049	2.526672982546863e-05
1	836	2.522363129634757e-05
1	2944	2.521298657994385e-05
1	5155	2.5172652159446802e-05
1	3481	2.51026612834931e-05
1	2321	2.5099892255564868e-05
1	3064	2.5099262048129914e-05
1	3767	2.5093161373253852e-05
1	4221	2.5079082078797516e-05
1	358	2.504374031540668e-05
1	2066	2.4927334154120254e-05
1	100	2.4896247559850895e-05
1	2261	2.4839307592137867e-05
1	2899	2.4822976204205827e-05
1	196	2.4783687739416875e-05
1	151	2.4768250029734283e-05
1	5465	2.465983325106783e-05
1	54577	2.4369400903241445e-05
1	472	2.4320828698295553e-05
1	2648	2.4319943021936715e-05
1	5467	2.429229401290649e-05
1	247	2.4234154812848466e-05
1	6517	2.4215138394953898e-05
1	3312	2.4158601016716485e-05
1	7398	2.4132617041053346e-05
1	5747	2.4086723566202694e-05
1	3351	2.408592108660595e-05
1	5293	2.4016956301175538e-05
1	6622	2.4011374674006665e-05
1	6598	2.388772759849721e-05
1	960	2.3851665888109646e-05
1	9475	2.38334095321051e-05
1	54474	2.3785687155412707e-05
1	290	2.36966273863198e-05
1	947	2.3537035274787084e-05
1	2150	2.3534511213353884e-05
1	7494	2.3497498805469435e-05
1	4864	2.344086906221225e-05
1	120892	2.3351944585549925e-05
1	29127	2.3322291778293944e-05
1	7421	2.3242574761262173e-05
1	6850	2.3207018756314078e-05
1	6772	2.306596000720228e-05
1	7486	2.3065356936896557e-05
1	8529	2.2996936575562254e-05
1	3570	2.2969381440910053e-05
1	1017	2.2916748290056534e-05
1	2324	2.2896386831159843e-05
1	1499	2.2893430076319392e-05
1	3683	2.2868636633890223e-05
1	595	2.2789139316060544e-05
1	5447	2.2771253361617567e-05
1	3082	2.2769045150985013e-05
1	2859	2.266465380467101e-05
1	1816	2.2622303619690995e-05
1	1111	2.2577699034684057e-05
1	2624	2.2538892126864194e-05
1	3736	2.248556709557942e-05
1	2911	2.2427827758303725e-05
1	476	2.2397522835266772e-05
1	217	2.2370734849422135e-05
1	1647	2.2285985765217556e-05
1	7412	2.228135760687031e-05
1	478	2.2152555147847896e-05
1	2185	2.2127660894729612e-05
1	135	2.20873055692453e-05
1	2353	2.1981742266525437e-05
1	3990	2.191949400417029e-05
1	3932	2.1847489151825574e-05
1	2147	2.1794785504633054e-05
1	190	2.1776735834698938e-05
1	5950	2.1711876852605962e-05
1	673	2.1659063255887884e-05
