index	score	claim_name	ncbi_gene_id
5132	0.005004271636800224	DRD2	1813
8842	0.0049507160737876955	GSTP1	2950
17469	0.004929045017563903	TNFRSF1B	7133
9126	0.0048377212710747205	HLA-A	3105
9068	0.0048024305626389934	HDAC2	3066
4540	0.004783858771230514	ADRB2	154
9326	0.004778308205204045	HSPA4	3308
9363	0.00476965636715804	HTR2C	3358
9914	0.004650697757447315	IL1B	3553
9187	0.00450436630696174	HNMT	3176
5627	0.004502643359052412	ABCD1	215
8762	0.004409922162446653	NR3C1	2908
9361	0.004326879529166661	HTR2A	3356
6341	0.004229924709503979	TBC1D1	23216
2195	0.004189597813146165	CBX1	10951
9369	0.004116448616429965	HTR7	3363
7267	0.004042871401781988	SH2B1	25970
9144	0.004042605268064927	HLA-DRB1	3123
13437	0.003959569425474692	UGT1A10	54575
11836	0.00395698176929047	MTHFR	4524
7609	0.003940915155616975	GDNF	2668
13471	0.003926470769685013	UGT1A1	54658
8843	0.003873576661151306	GSTT1	2952
12123	0.0038501461002656335	ATP2B1	490
7653	0.003848019728053713	GGT1	2678
14573	0.0038224000942664533	PRL	5617
9295	0.003813787021914125	HRH1	3269
17419	0.003760920361062326	TJP1	7082
9140	0.0037381513968364564	HLA-DQB1	3119
9145	0.003659124323446775	HLA-DRB3	3125
13122	0.0035361114085731586	PLAGL1	5325
21207	0.003534226967727521	CD9	928
5654	0.003507979840425968	ALDH3A1	218
2542	0.003468833401917086	CHRM1	1128
7512	0.003367159660278221	GCG	2641
8839	0.003266479929900836	GSTM3	2947
5641	0.003261015685303116	FAAH	2166
20545	0.00326076930329842	CCKBR	887
5134	0.003236022169410545	DRD4	1815
13470	0.003176662737316682	UGT1A4	54657
4332	0.00315449289031948	ADRA2A	150
13452	0.0030954229525576387	POU5F1	5460
4598	0.0030653775644705296	CYP2C18	1562
20517	0.003042444250124112	CFLAR	8837
5117	0.0030233855763719788	ABAT	18
9356	0.0030048813192473426	HTR1A	3350
12017	0.002974942102830881	ATP1A2	477
4567	0.002974568160501667	CYP2A6	1548
12072	0.002959910602707173	NQO2	4835
12142	0.00292005130144399	NTS	4922
5755	0.002908342695911455	ABCB7	22
20521	0.002842536092037332	HDAC3	8841
16772	0.0028020370671325238	SLC6A3	6531
17856	0.002790703308315461	UGT2B10	7365
5131	0.0027500959972817486	DRD1	1812
1964	0.0027001260227059827	ADCY1	107
17955	0.0026680842854007285	XBP1	7494
9066	0.0026409108421511073	HTT	3064
13440	0.0026218597452338037	UGT1A6	54578
10824	0.002613021148364505	LEPR	3953
17831	0.002605495880552548	UBE2N	7334
11415	0.0025968241410833552	MC4R	4160
7288	0.0025907544532735717	AOC1	26
7938	0.0025758205654030923	GLP1R	2740
16785	0.002560026569134404	SLC6A4	6532
21731	0.0025331396291621983	HDAC9	9734
4574	0.002489699673426399	ADRB3	155
12130	0.00248022818330911	NTF3	4908
12027	0.002447338775052753	NFE2L2	4780
13453	0.002419702914315105	UGT1A9	54600
6933	0.0024196075554862	GAA	2548
10204	0.002389560706914409	KCNJ3	3760
19179	0.002366656224117949	CAMK2G	818
21756	0.0023291486415658127	HDAC4	9759
3510	0.002312916689155513	AADAC	13
15364	0.0023100608680451428	PTPRN2	5799
12377	0.0023099749916991354	TRAT1	50852
5319	0.002306299949819459	ELAVL2	1993
4592	0.002292614984977613	CYP2B6	1555
10192	0.0022801860519793943	KCNH2	3757
6382	0.002267689776281485	FMO1	2326
0	0.002259942961750645	A1BG	1
17089	0.002220889853476853	SST	6750
4454	0.002210140441977309	ADRA2C	152
13472	0.002170925432767811	UGT1A3	54659
12452	0.002170021354526761	GMNN	51053
16601	0.0021409246751824106	CYP3A43	64816
20535	0.0021375305106182	NR1I2	8856
4228	0.0020815184374614075	ADRA1A	148
8616	0.002065861376671559	TRAC	28755
13438	0.002046667564860916	UGT1A8	54576
18525	0.002012819722174501	TBL1XR1	79718
3562	0.0020065660225765678	COMT	1312
4156	0.001988876651888977	ADRA1B	147
2451	0.0019809341452217827	POLI	11201
14376	0.001976704194398529	PRKCE	5581
2063	0.0019578339302321873	ADCY2	108
18316	0.0019513612341879973	ALDH5A1	7915
18406	0.0019418658673573132	EPM2A	7957
18133	0.0019245462764280075	CACNA1D	776
7720	0.0019060717961419927	ABL2	27
10056	0.0019037417439060004	ITIH3	3699
20473	0.0018980952653844046	TNFRSF11A	8792
123	0.0018978846095143121	HDAC6	10013
6400	0.0018863234444056523	FMO3	2328
2571	0.0018764697874072613	CHRM3	1131
257	0.0018608012630905145	HDAC5	10014
8695	0.0018465125656597237	TRIB2	28951
1	0.0018443718077479387	NAT2	10
13439	0.0018270790091411593	UGT1A7	54577
18125	0.0018207477054824192	CACNA1C	775
6750	0.0018198164055819113	ABCA4	24
20529	0.0018120905531516466	CCK	885
6186	0.0017826609533156254	TNIK	23043
