index	score	claim_name	ncbi_gene_id
20155	3.919996006885035e-05	IKBKG	8517
19643	3.917790289337558e-05	CASP9	842
15087	3.917508648694316e-05	PTK2	5747
17111	3.917088771004432e-05	STAT5A	6776
9920	3.909601492487536e-05	FASLG	356
17468	3.909549742148329e-05	TNFRSF1A	7132
10044	3.908595069778352e-05	ITGB1	3688
14499	3.907760714968775e-05	MAPK9	5601
14246	3.906214782560046e-05	PRKACB	5567
15042	3.906170196872515e-05	PTGS2	5743
1044	3.904460228270561e-05	CDK4	1019
1265	3.903414734961663e-05	CDKN1B	1027
1028	3.900432995927637e-05	CDK2	1017
9336	3.900036443070183e-05	HSP90AA1	3320
21965	3.89909105862859e-05	CDC42	998
14956	3.8989225314541387e-05	BAD	572
4879	3.8960797361398763e-05	GADD45A	1647
14984	3.895251185702627e-05	PTEN	5728
10071	3.894838236978209e-05	JAK1	3716
20608	3.893706006352804e-05	CCND2	894
12311	3.8902695503460164e-05	SERPINE1	5054
5233	3.8882492988581765e-05	EGF	1950
1315	3.8881477342690524e-05	CDKN2A	1029
15878	3.880652510886288e-05	RXRA	6256
17522	3.879494123274831e-05	TRAF6	7189
9405	3.876900595831537e-05	ICAM1	3383
15604	3.875757628605378e-05	BCL2L1	598
20583	3.87462182696985e-05	CCNB1	891
11527	3.8736445477461e-05	MMP9	4318
20638	3.870292712341597e-05	CCNE1	898
10808	3.870017045485224e-05	LCK	3932
5240	3.869258504281757e-05	EGR1	1958
11322	3.8692042015598386e-05	SMAD3	4088
5365	3.8688495199094126e-05	ELK1	2002
14494	3.868387221102134e-05	MAPK11	5600
10046	3.868369278069615e-05	ARAF	369
12941	3.867991458672649e-05	PDPK1	5170
17381	3.866554720959168e-05	TGFB2	7042
3791	3.8663215248683724e-05	ATF2	1386
14512	3.8663014859193546e-05	MAP2K6	5608
19306	3.8659577148979965e-05	CASP1	834
9319	3.8655644701365815e-05	BIRC3	330
21974	3.863429977490213e-05	CDH1	999
14367	3.86325434286927e-05	PRKCD	5580
10024	3.862827829107163e-05	IRS1	3667
17396	3.862057319422143e-05	THBS1	7057
12313	3.8612787229008613e-05	PAK1	5058
17112	3.859234836727216e-05	STAT5B	6777
17227	3.8570403327803296e-05	MAP3K7	6885
15963	3.85566014016798e-05	CCL5	6352
12851	3.8554811467395e-05	PDGFRA	5156
3396	3.8554716011948026e-05	COL1A2	1278
17519	3.854505086998952e-05	TRAF2	7186
15994	3.852859995652452e-05	CXCL12	6387
20575	3.8526369353385133e-05	CCNA2	890
12508	3.852463499420525e-05	PCNA	5111
13864	3.8516434242367604e-05	PPP2CA	5515
14507	3.8510004241483035e-05	MAP2K3	5606
9790	3.8504801421740016e-05	IGF1	3479
13284	3.849215556207508e-05	CYCS	54205
7980	3.849208828219792e-05	GNB1	2782
5585	3.8490894107379456e-05	ESR1	2099
17465	3.84907943753354e-05	TNFAIP3	7128
15980	3.847908751030783e-05	BID	637
11465	3.847898066490427e-05	MET	4233
14253	3.847871786172434e-05	PRKACG	5568
9143	3.847231155540206e-05	HLA-DRA	3122
9175	3.846680123032659e-05	HMOX1	3162
11323	3.8451255020730975e-05	SMAD4	4089
9941	3.844435160282206e-05	IL10	3586
15626	3.843235720937307e-05	ACTB	60
20430	3.84308579562591e-05	RIPK1	8737
6216	3.843014037280664e-05	FOXO1	2308
9151	3.8428473910574356e-05	HLA-E	3133
17013	3.8423098316012295e-05	SP1	6667
16138	3.841777449980794e-05	MAP2K4	6416
13186	3.841610751143084e-05	PMAIP1	5366
9181	3.8408244928439945e-05	APAF1	317
12034	3.840082177951333e-05	NFKB2	4791
11878	3.839527136417829e-05	GADD45B	4616
9507	3.8392444832986765e-05	ID2	3398
11520	3.8377646213368896e-05	MMP2	4313
5952	3.8375889577512514e-05	FGF2	2247
9335	3.8375611876066996e-05	BIRC5	332
9794	3.837053813134181e-05	IGF1R	3480
15836	3.8361852920935696e-05	RPS6KB1	6198
21596	3.8358024501304076e-05	CD44	960
18188	3.835658692488184e-05	CXCR4	7852
6224	3.835431409020597e-05	FOXO3	2309
17001	3.835341495293648e-05	SOS2	6655
10065	3.8343875082771506e-05	ITPR1	3708
14804	3.8341417980174734e-05	PSMB9	5698
11454	3.8334168177843846e-05	MAP3K1	4214
10077	3.8316192496939914e-05	JUNB	3726
17036	3.831448478498767e-05	SPP1	6696
9973	3.8307252276223306e-05	IL18	3606
9113	3.8300663035822896e-05	HIF1A	3091
14791	3.8299402925798026e-05	PSMB8	5696
20725	3.829592764866018e-05	SOCS3	9021
17061	3.827979950517764e-05	BRCA1	672
17894	3.8275058745394896e-05	VCAM1	7412
14500	3.8262917097516446e-05	MAPK10	5602
5157	3.8257325493268734e-05	HBEGF	1839
7975	3.825607682808149e-05	GNAS	2778
3986	3.825283606527105e-05	CSF1	1435
9925	3.8245323198216376e-05	IL4	3565
20456	3.824387258344592e-05	FADD	8772
9993	3.823869060500602e-05	CXCL10	3627
20371	3.823612312580423e-05	CBL	867
5560	3.8235253441334585e-05	ERBB2	2064
1526	3.822938494068977e-05	CEBPB	1051
6938	3.822736461658244e-05	GAB1	2549
17596	3.822422619156513e-05	TUBB2A	7280
11519	3.821669613750311e-05	MMP1	4312
6360	3.821449507501347e-05	PLCB1	23236
10047	3.82069638583502e-05	ITGB3	3690
